Fujiwara Chika, chika.jpg, 450.000đ, 5, 1
Klee cầm bánh, klee.jpg, 120.000đ, 3, 1
Tokisaki Kurumi, Kurumi.jpg, 100.000đ, 3, 1
Anya Nữ thần Tự do, anya.jpg, 80.000đ, 3, 1
Bocchi the Rock!, bochi.png, 80.000đ, 3, 1
Đồ ăn bất kì x1, sample.jpg, Dưới 15.000đ, 1, 4
